"ItemName","ValueType","ItemCode","ParentItemCode","IsActive","ItemName_en-US","ItemName_zh-Hans"
"C15050205 - 冰品保全组","custom","C15050205","珠海市华丰食品工业（集团）有限公司兴化分公司","True","",""
"C15050206 - 面品保全组","custom","C15050206","珠海市华丰食品工业（集团）有限公司兴化分公司","True","",""
"C15050301 - 面品生产车间","custom","C15050301","珠海市华丰食品工业（集团）有限公司兴化分公司","False","",""
"C15050302 - 冰品软管车间","custom","C15050302","珠海市华丰食品工业（集团）有限公司兴化分公司","False","",""
"C15050303 - 冰品车间","custom","C15050303","珠海市华丰食品工业（集团）有限公司兴化分公司","False","",""
"C15050304 - 粉包生产车间","custom","C15050304","珠海市华丰食品工业（集团）有限公司兴化分公司","False","",""
"C15050305 - 酱包生产车间","custom","C15050305","珠海市华丰食品工业（集团）有限公司兴化分公司","False","",""
"C15050306 - 面品半成品车间","custom","C15050306","珠海市华丰食品工业（集团）有限公司兴化分公司","False","",""
"C15050307 - 棕油加工车间","custom","C15050307","珠海市华丰食品工业（集团）有限公司兴化分公司","False","",""
"C15050308 - 造粒车间","custom","C15050308","珠海市华丰食品工业（集团）有限公司兴化分公司","False","",""
"C15050309 - 软糖包装车间","custom","C15050309","珠海市华丰食品工业（集团）有限公司兴化分公司","False","",""
"C15050400 - 委外加工","custom","C15050400","珠海市华丰食品工业（集团）有限公司兴化分公司","True","",""
"C15050501 - 计划统计科","custom","C15050501","珠海市华丰食品工业（集团）有限公司兴化分公司","True","",""
"C15050502 - 仓储物流科","custom","C15050502","珠海市华丰食品工业（集团）有限公司兴化分公司","True","",""
"C15050503 - 制面搬运","custom","C15050503","珠海市华丰食品工业（集团）有限公司兴化分公司","True","",""
"C15050505 - 冰品搬运","custom","C15050505","珠海市华丰食品工业（集团）有限公司兴化分公司","True","",""
"C15050601 - 品保部","custom","C15050601","珠海市华丰食品工业（集团）有限公司兴化分公司","True","",""
"C15050701 - 动力科","custom","C15050701","珠海市华丰食品工业（集团）有限公司兴化分公司","True","",""
"C15050801 - 环安卫 EHS","custom","C15050801","珠海市华丰食品工业（集团）有限公司兴化分公司","True","",""
"C15059801 - 公共制造费用","custom","C15059801","珠海市华丰食品工业（集团）有限公司兴化分公司","True","",""
"C15060000 - 其他","custom","C15060000","珠海市华丰食品工业（集团）有限公司兴化分公司","False","",""
"C15410000 - 总经办","custom","C15410000","珠海市华丰食品工业（集团）有限公司包装材料厂","False","",""
"C15410100 - 市场部","custom","C15410100","珠海市华丰食品工业（集团）有限公司包装材料厂","False","",""
"C15410200 - 研发部","custom","C15410200","珠海市华丰食品工业（集团）有限公司包装材料厂","False","",""
"C15410300 - 人事部","custom","C15410300","珠海市华丰食品工业（集团）有限公司包装材料厂","False","",""
"C15410400 - 行政部","custom","C15410400","珠海市华丰食品工业（集团）有限公司包装材料厂","False","",""
"C15410500 - 法务部","custom","C15410500","珠海市华丰食品工业（集团）有限公司包装材料厂","False","",""
"C15410600 - 战略与规划部","custom","C15410600","珠海市华丰食品工业（集团）有限公司包装材料厂","False","",""
"C15410700 - 企业事务部","custom","C15410700","珠海市华丰食品工业（集团）有限公司包装材料厂","False","",""
"C15410800 - 财务部","custom","C15410800","珠海市华丰食品工业（集团）有限公司包装材料厂","False","",""
"C15410900 - IT部","custom","C15410900","珠海市华丰食品工业（集团）有限公司包装材料厂","False","",""
"C15411000 - 采购部","custom","C15411000","珠海市华丰食品工业（集团）有限公司包装材料厂","False","",""
"C15411100 - 业务伙伴及内控部","custom","C15411100","珠海市华丰食品工业（集团）有限公司包装材料厂","False","",""
"C15411200 - 内审部","custom","C15411200","珠海市华丰食品工业（集团）有限公司包装材料厂","False","",""
"C15411300 - 信用风险部","custom","C15411300","珠海市华丰食品工业（集团）有限公司包装材料厂","False","",""
"C15419900 - 公共管理费用","custom","C15419900","珠海市华丰食品工业（集团）有限公司包装材料厂","False","",""
"C15429000 - 销售部","custom","C15429000","珠海市华丰食品工业（集团）有限公司包装材料厂","False","",""
"C15460000 - 其他","custom","C15460000","珠海市华丰食品工业（集团）有限公司包装材料厂","False","",""
"C15210000 - 总经办","custom","C15210000","珠海市华丰食品工业（集团）有限公司西安销售分公司","True","",""
"C15210100 - 市场部","custom","C15210100","珠海市华丰食品工业（集团）有限公司西安销售分公司","True","",""
"C15210200 - 研发部","custom","C15210200","珠海市华丰食品工业（集团）有限公司西安销售分公司","True","",""
"C15210300 - 人事部","custom","C15210300","珠海市华丰食品工业（集团）有限公司西安销售分公司","True","",""
"C15210400 - 行政部","custom","C15210400","珠海市华丰食品工业（集团）有限公司西安销售分公司","True","",""
"C15210500 - 法务部","custom","C15210500","珠海市华丰食品工业（集团）有限公司西安销售分公司","True","",""
"C15210600 - 战略与规划部","custom","C15210600","珠海市华丰食品工业（集团）有限公司西安销售分公司","False","",""
"C15210700 - 企业事务部","custom","C15210700","珠海市华丰食品工业（集团）有限公司西安销售分公司","True","",""
"C15210800 - 财务部","custom","C15210800","珠海市华丰食品工业（集团）有限公司西安销售分公司","True","",""
"C15210900 - IT部","custom","C15210900","珠海市华丰食品工业（集团）有限公司西安销售分公司","True","",""
"C15211000 - 采购部","custom","C15211000","珠海市华丰食品工业（集团）有限公司西安销售分公司","True","",""
"C15211100 - 业务伙伴及内控部","custom","C15211100","珠海市华丰食品工业（集团）有限公司西安销售分公司","True","",""
"C15211200 - 内审部","custom","C15211200","珠海市华丰食品工业（集团）有限公司西安销售分公司","False","",""
